image_id,split,sat_image_path,mask_path
643722,train,data/643722_sat.jpg,data/643722_mask.png
681104,train,data/681104_sat.jpg,data/681104_mask.png
83490,train,data/83490_sat.jpg,data/83490_mask.png
608673,train,data/608673_sat.jpg,data/608673_mask.png
174168,train,data/174168_sat.jpg,data/174168_mask.png
44562,train,data/44562_sat.jpg,data/44562_mask.png
207388,train,data/207388_sat.jpg,data/207388_mask.png
503695,train,data/503695_sat.jpg,data/503695_mask.png
39367,train,data/39367_sat.jpg,data/39367_mask.png
695632,train,data/695632_sat.jpg,data/695632_mask.png
105157,train,data/105157_sat.jpg,data/105157_mask.png
199155,train,data/199155_sat.jpg,data/199155_mask.png
824865,train,data/824865_sat.jpg,data/824865_mask.png
667627,train,data/667627_sat.jpg,data/667627_mask.png
304805,train,data/304805_sat.jpg,data/304805_mask.png
472623,train,data/472623_sat.jpg,data/472623_mask.png
955634,train,data/955634_sat.jpg,data/955634_mask.png
974773,train,data/974773_sat.jpg,data/974773_mask.png
344218,train,data/344218_sat.jpg,data/344218_mask.png
472031,train,data/472031_sat.jpg,data/472031_mask.png
497990,train,data/497990_sat.jpg,data/497990_mask.png
851693,train,data/851693_sat.jpg,data/851693_mask.png
646160,train,data/646160_sat.jpg,data/646160_mask.png
424027,train,data/424027_sat.jpg,data/424027_mask.png
300458,train,data/300458_sat.jpg,data/300458_mask.png
615691,train,data/615691_sat.jpg,data/615691_mask.png
450728,train,data/450728_sat.jpg,data/450728_mask.png
126358,train,data/126358_sat.jpg,data/126358_mask.png
18214,train,data/18214_sat.jpg,data/18214_mask.png
782351,train,data/782351_sat.jpg,data/782351_mask.png
767819,train,data/767819_sat.jpg,data/767819_mask.png
586635,train,data/586635_sat.jpg,data/586635_mask.png
519944,train,data/519944_sat.jpg,data/519944_mask.png
200190,train,data/200190_sat.jpg,data/200190_mask.png
552120,train,data/552120_sat.jpg,data/552120_mask.png
499333,train,data/499333_sat.jpg,data/499333_mask.png
359049,train,data/359049_sat.jpg,data/359049_mask.png
493562,train,data/493562_sat.jpg,data/493562_mask.png
400501,train,data/400501_sat.jpg,data/400501_mask.png
757922,train,data/757922_sat.jpg,data/757922_mask.png
853762,train,data/853762_sat.jpg,data/853762_mask.png
400636,train,data/400636_sat.jpg,data/400636_mask.png
857151,train,data/857151_sat.jpg,data/857151_mask.png
683838,train,data/683838_sat.jpg,data/683838_mask.png
31900,train,data/31900_sat.jpg,data/31900_mask.png
594262,train,data/594262_sat.jpg,data/594262_mask.png
936058,train,data/936058_sat.jpg,data/936058_mask.png
154170,train,data/154170_sat.jpg,data/154170_mask.png
999531,train,data/999531_sat.jpg,data/999531_mask.png
517389,train,data/517389_sat.jpg,data/517389_mask.png
62307,train,data/62307_sat.jpg,data/62307_mask.png
461405,train,data/461405_sat.jpg,data/461405_mask.png
891558,train,data/891558_sat.jpg,data/891558_mask.png
753676,train,data/753676_sat.jpg,data/753676_mask.png
437777,train,data/437777_sat.jpg,data/437777_mask.png
253415,train,data/253415_sat.jpg,data/253415_mask.png
430680,train,data/430680_sat.jpg,data/430680_mask.png
646974,train,data/646974_sat.jpg,data/646974_mask.png
657452,train,data/657452_sat.jpg,data/657452_mask.png
34973,train,data/34973_sat.jpg,data/34973_mask.png
833275,train,data/833275_sat.jpg,data/833275_mask.png
3530,train,data/3530_sat.jpg,data/3530_mask.png
27516,train,data/27516_sat.jpg,data/27516_mask.png
367166,train,data/367166_sat.jpg,data/367166_mask.png
387181,train,data/387181_sat.jpg,data/387181_mask.png
385402,train,data/385402_sat.jpg,data/385402_mask.png
826921,train,data/826921_sat.jpg,data/826921_mask.png
310096,train,data/310096_sat.jpg,data/310096_mask.png
150479,train,data/150479_sat.jpg,data/150479_mask.png
196602,train,data/196602_sat.jpg,data/196602_mask.png
516577,train,data/516577_sat.jpg,data/516577_mask.png
264705,train,data/264705_sat.jpg,data/264705_mask.png
5279,train,data/5279_sat.jpg,data/5279_mask.png
561049,train,data/561049_sat.jpg,data/561049_mask.png
480408,train,data/480408_sat.jpg,data/480408_mask.png
538270,train,data/538270_sat.jpg,data/538270_mask.png
673035,train,data/673035_sat.jpg,data/673035_mask.png
849290,train,data/849290_sat.jpg,data/849290_mask.png
284571,train,data/284571_sat.jpg,data/284571_mask.png
572809,train,data/572809_sat.jpg,data/572809_mask.png
62582,train,data/62582_sat.jpg,data/62582_mask.png
901544,train,data/901544_sat.jpg,data/901544_mask.png
315179,train,data/315179_sat.jpg,data/315179_mask.png
298613,train,data/298613_sat.jpg,data/298613_mask.png
87676,train,data/87676_sat.jpg,data/87676_mask.png
248997,train,data/248997_sat.jpg,data/248997_mask.png
543609,train,data/543609_sat.jpg,data/543609_mask.png
820787,train,data/820787_sat.jpg,data/820787_mask.png
470078,train,data/470078_sat.jpg,data/470078_mask.png
232879,train,data/232879_sat.jpg,data/232879_mask.png
706589,train,data/706589_sat.jpg,data/706589_mask.png
340354,train,data/340354_sat.jpg,data/340354_mask.png
34885,train,data/34885_sat.jpg,data/34885_mask.png
733133,train,data/733133_sat.jpg,data/733133_mask.png
347722,train,data/347722_sat.jpg,data/347722_mask.png
332374,train,data/332374_sat.jpg,data/332374_mask.png
688173,train,data/688173_sat.jpg,data/688173_mask.png
16577,train,data/16577_sat.jpg,data/16577_mask.png
358122,train,data/358122_sat.jpg,data/358122_mask.png
838649,train,data/838649_sat.jpg,data/838649_mask.png
471214,train,data/471214_sat.jpg,data/471214_mask.png
71993,train,data/71993_sat.jpg,data/71993_mask.png
636013,train,data/636013_sat.jpg,data/636013_mask.png
631451,train,data/631451_sat.jpg,data/631451_mask.png
41524,train,data/41524_sat.jpg,data/41524_mask.png
759945,train,data/759945_sat.jpg,data/759945_mask.png
600556,train,data/600556_sat.jpg,data/600556_mask.png
898085,train,data/898085_sat.jpg,data/898085_mask.png
662620,train,data/662620_sat.jpg,data/662620_mask.png
782055,train,data/782055_sat.jpg,data/782055_mask.png
89369,train,data/89369_sat.jpg,data/89369_mask.png
612436,train,data/612436_sat.jpg,data/612436_mask.png
384535,train,data/384535_sat.jpg,data/384535_mask.png
98157,train,data/98157_sat.jpg,data/98157_mask.png
415383,train,data/415383_sat.jpg,data/415383_mask.png
26206,train,data/26206_sat.jpg,data/26206_mask.png
893442,train,data/893442_sat.jpg,data/893442_mask.png
222343,train,data/222343_sat.jpg,data/222343_mask.png
708675,train,data/708675_sat.jpg,data/708675_mask.png
748913,train,data/748913_sat.jpg,data/748913_mask.png
34368,train,data/34368_sat.jpg,data/34368_mask.png
812075,train,data/812075_sat.jpg,data/812075_mask.png
121117,train,data/121117_sat.jpg,data/121117_mask.png
601450,train,data/601450_sat.jpg,data/601450_mask.png
5523,train,data/5523_sat.jpg,data/5523_mask.png
892757,train,data/892757_sat.jpg,data/892757_mask.png
273219,train,data/273219_sat.jpg,data/273219_mask.png
999431,train,data/999431_sat.jpg,data/999431_mask.png
230028,train,data/230028_sat.jpg,data/230028_mask.png
511055,train,data/511055_sat.jpg,data/511055_mask.png
447775,train,data/447775_sat.jpg,data/447775_mask.png
964555,train,data/964555_sat.jpg,data/964555_mask.png
547924,train,data/547924_sat.jpg,data/547924_mask.png
222272,train,data/222272_sat.jpg,data/222272_mask.png
262790,train,data/262790_sat.jpg,data/262790_mask.png
625913,train,data/625913_sat.jpg,data/625913_mask.png
43484,train,data/43484_sat.jpg,data/43484_mask.png
758578,train,data/758578_sat.jpg,data/758578_mask.png
957715,train,data/957715_sat.jpg,data/957715_mask.png
285194,train,data/285194_sat.jpg,data/285194_mask.png
244138,train,data/244138_sat.jpg,data/244138_mask.png
825558,train,data/825558_sat.jpg,data/825558_mask.png
347776,train,data/347776_sat.jpg,data/347776_mask.png
802074,train,data/802074_sat.jpg,data/802074_mask.png
153937,train,data/153937_sat.jpg,data/153937_mask.png
779588,train,data/779588_sat.jpg,data/779588_mask.png
839673,train,data/839673_sat.jpg,data/839673_mask.png
933722,train,data/933722_sat.jpg,data/933722_mask.png
310935,train,data/310935_sat.jpg,data/310935_mask.png
697488,train,data/697488_sat.jpg,data/697488_mask.png
279807,train,data/279807_sat.jpg,data/279807_mask.png
971228,train,data/971228_sat.jpg,data/971228_mask.png
516017,train,data/516017_sat.jpg,data/516017_mask.png
947674,train,data/947674_sat.jpg,data/947674_mask.png
939522,train,data/939522_sat.jpg,data/939522_mask.png
107412,train,data/107412_sat.jpg,data/107412_mask.png
584527,train,data/584527_sat.jpg,data/584527_mask.png
523306,train,data/523306_sat.jpg,data/523306_mask.png
124192,train,data/124192_sat.jpg,data/124192_mask.png
612216,train,data/612216_sat.jpg,data/612216_mask.png
663533,train,data/663533_sat.jpg,data/663533_mask.png
325929,train,data/325929_sat.jpg,data/325929_mask.png
309834,train,data/309834_sat.jpg,data/309834_mask.png
308466,train,data/308466_sat.jpg,data/308466_mask.png
576266,train,data/576266_sat.jpg,data/576266_mask.png
989398,train,data/989398_sat.jpg,data/989398_mask.png
632065,train,data/632065_sat.jpg,data/632065_mask.png
39694,train,data/39694_sat.jpg,data/39694_mask.png
717014,train,data/717014_sat.jpg,data/717014_mask.png
985902,train,data/985902_sat.jpg,data/985902_mask.png
500675,train,data/500675_sat.jpg,data/500675_mask.png
167193,train,data/167193_sat.jpg,data/167193_mask.png
870028,train,data/870028_sat.jpg,data/870028_mask.png
873030,train,data/873030_sat.jpg,data/873030_mask.png
325890,train,data/325890_sat.jpg,data/325890_mask.png
757803,train,data/757803_sat.jpg,data/757803_mask.png
32593,train,data/32593_sat.jpg,data/32593_mask.png
96399,train,data/96399_sat.jpg,data/96399_mask.png
241847,train,data/241847_sat.jpg,data/241847_mask.png
281208,train,data/281208_sat.jpg,data/281208_mask.png
434853,train,data/434853_sat.jpg,data/434853_mask.png
97852,train,data/97852_sat.jpg,data/97852_mask.png
582928,train,data/582928_sat.jpg,data/582928_mask.png
836197,train,data/836197_sat.jpg,data/836197_mask.png
862451,train,data/862451_sat.jpg,data/862451_mask.png
416847,train,data/416847_sat.jpg,data/416847_mask.png
969112,train,data/969112_sat.jpg,data/969112_mask.png
312064,train,data/312064_sat.jpg,data/312064_mask.png
168486,train,data/168486_sat.jpg,data/168486_mask.png
437167,train,data/437167_sat.jpg,data/437167_mask.png
620166,train,data/620166_sat.jpg,data/620166_mask.png
446060,train,data/446060_sat.jpg,data/446060_mask.png
938881,train,data/938881_sat.jpg,data/938881_mask.png
771440,train,data/771440_sat.jpg,data/771440_mask.png
319353,train,data/319353_sat.jpg,data/319353_mask.png
893042,train,data/893042_sat.jpg,data/893042_mask.png
267645,train,data/267645_sat.jpg,data/267645_mask.png
